cluster_name,snp_level,median_tmrca
snp5_lineage_1_cluster_6,5,7.21
snp5_lineage_1_cluster_7,5,3.61
snp5_lineage_2_cluster_3,5,2.38
snp5_lineage_4_cluster_105,5,4.64
snp5_lineage_4_cluster_125,5,6.18
snp5_lineage_4_cluster_17,5,7.14
snp5_lineage_4_cluster_175,5,4.29
snp5_lineage_4_cluster_188,5,3.77
snp5_lineage_4_cluster_202,5,5.33
snp5_lineage_4_cluster_204,5,4.48
snp5_lineage_4_cluster_21,5,14.199
snp5_lineage_4_cluster_254,5,12.57
snp5_lineage_4_cluster_282,5,4.01
snp5_lineage_4_cluster_312,5,4.6
snp5_lineage_4_cluster_36,5,2.5
snp5_lineage_4_cluster_385,5,4.38
snp5_lineage_4_cluster_40,5,10.76
snp5_lineage_4_cluster_42,5,2.75
snp5_lineage_4_cluster_46,5,5.17
snp5_lineage_4_cluster_51,5,5.22
snp5_lineage_4_cluster_92,5,5.25
